Department	Department Translation	Department Priority	Department Group	Department Status	Professions	Profession Translation	Profession Priority	Profession Group	Profession Status	Task templates	Task template Description	LEN	Task template Status	Actions	Actions Translation	Action Priority	Action Group	Action Status	Objects	Objects Translation	Objects Priority	Objects Group	Objects Status	Tools	Tool Types	Tool Link
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	design prompts	Craft effective and targeted prompts for AI models like ChatGPT, Claude AI, or Gemini to elicit desired responses based on specific goals and contexts.	151	Approved	design	English	Main	design	Approved	prompts	English	Main	prompts	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	refine prompts	Iteratively improve existing prompts using feedback and analysis to enhance clarity, specificity, and performance with tools like ChatGPT, Claude AI, Gemini, and manage versions or related notes in Notebook LM.	210	Approved	refine	English	Main	refine	Approved	prompts	English	Main	prompts	Approved	ChatGPT, Claude AI, Gemini, Notebook LM	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://notebooklm.google.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	analyze responses	Examine AI-generated responses for quality, relevance, accuracy, and adherence to instructions, utilizing Gemini, Claude AI, ChatGPT for analysis support and Notebook LM for organizing findings.	194	Approved	analyze	English	Main	analyze	Approved	responses	English	Main	responses	Approved	Gemini, Claude AI, ChatGPT, Notebook LM	AI	https://gemini.google.com/app, https://claude.ai/, https://chatgpt.com/, https://notebooklm.google.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	evaluate responses	Assess the effectiveness and quality of AI model responses against predefined criteria or benchmarks, potentially using Gemini, Claude AI, or ChatGPT for comparative analysis.	175	Approved	evaluate	English	Main	evaluate	Approved	responses	English	Main	responses	Approved	Gemini, Claude AI, ChatGPT	AI	https://gemini.google.com/app, https://claude.ai/, https://chatgpt.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	select models	Choose appropriate AI models based on task requirements, performance characteristics, and cost, using Perplexity AI or Gemini for research and comparison.	154	Approved	select	English	Main	select	Approved	models	English	Main	models	Approved	Perplexity AI, Gemini	AI	https://www.perplexity.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	test models	Run experiments and tests to compare different AI models (like ChatGPT, Claude AI, Gemini) or prompt variations, potentially using Cursor Pro to script testing procedures.	171	Approved	test	English	Main	test	Approved	models	English	Main	models	Approved	ChatGPT, Claude AI, Gemini, Cursor Pro	AI, Software	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app, https://www.cursor.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	tune parameters	Adjust model parameters like temperature, top-p, or frequency penalty to influence the creativity, focus, and style of AI responses generated by ChatGPT, Claude AI, or Gemini.	175	Approved	tune	English	Main	tune	Approved	parameters	English	Main	parameters	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	adjust parameters	Modify specific settings and parameters for AI models (e.g., ChatGPT, Claude AI, Gemini) during prompt execution to achieve better results for particular tasks.	160	Approved	adjust	English	Main	adjust	Approved	parameters	English	Main	parameters	Approved	ChatGPT, Claude AI, Gemini	AI	https://chatgpt.com/, https://claude.ai/, https://gemini.google.com/app
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	create datasets	Compile or generate datasets for training, fine-tuning, or testing AI models, using Notebook LM for organization, Cursor Pro for scripting data processing, and ChatGPT for brainstorming data examples.	200	Approved	create	English	Main	create	Approved	datasets	English	Main	datasets	Approved	Notebook LM, Cursor Pro, ChatGPT	AI, Software	https://notebooklm.google.com/, https://www.cursor.com/, https://chatgpt.com/
developers	English	Main	developers	Approved	prompt engineer	English	Main	prompt engineer	Approved	manage datasets	Organize, clean, and maintain datasets used in prompt engineering workflows, leveraging tools like Cursor Pro for data manipulation and Notebook LM for documentation.	166	Approved	manage	English	Main	manage	Approved	datasets	English	Main	datasets	Approved	Cursor Pro, Notebook LM	Software, AI	https://www.cursor.com/, https://notebooklm.google.com/
