Department	Department Translation	Department Priority	Department Group	Department Status	Professions	Profession Translation	Profession Priority	Profession Group	Profession Status	Task templates	Task template Description	LEN	Task template Status	Actions	Actions Translation	Action Priority	Action Group	Action Status	Objects	Objects Translation	Objects Priority	Objects Group	Objects Status	Tools	Tool Types	Tool Link
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	identify leads	Search for potential leads using research tools like Perplexity AI, Gemini, ChatGPT, or Claude AI, compiling initial findings in Notebook LM.	141	Approved	identify	English	Main	identify	Approved	leads	English	Main	leads	Approved	Perplexity AI, Gemini, ChatGPT, Claude AI, Notebook LM	AI	https://www.perplexity.ai/, https://gemini.google.com/app, https://chatgpt.com/, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	qualify leads	Assess identified leads against predefined criteria to determine their potential fit, using ChatGPT, Gemini, or Claude AI for analysis support and Notebook LM for notes.	169	Approved	qualify	English	Main	qualify	Approved	leads	English	Main	leads	Approved	ChatGPT, Gemini, Claude AI, Notebook LM	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	research prospects	Gather detailed information about qualified prospects using research tools like Perplexity AI, Grok, Gemini, ChatGPT, or Claude AI to inform outreach.	150	Approved	research	English	Main	research	Approved	prospects	English	Main	prospects	Approved	Perplexity AI, Grok, Gemini, ChatGPT, Claude AI	AI	https://www.perplexity.ai/, (No public link for Grok), https://gemini.google.com/app, https://chatgpt.com/, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	segment prospects	Group prospects into meaningful segments based on shared characteristics using analysis support from ChatGPT, Gemini, or Claude AI and organizing lists in Notebook LM.	167	Approved	segment	English	Main	segment	Approved	prospects	English	Main	prospects	Approved	ChatGPT, Gemini, Claude AI, Notebook LM	AI	https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/, https://notebooklm.google.com/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	find contacts	Identify specific contact persons within target organizations using research tools like Perplexity AI, Grok, or Gemini.	119	Approved	find	English	Main	find	Approved	contacts	English	Main	contacts	Approved	Perplexity AI, Grok, Gemini	AI	https://www.perplexity.ai/, (No public link for Grok), https://gemini.google.com/app
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	verify contacts	Confirm the accuracy of contact information (like email, title) by cross-referencing data using tools like Perplexity AI or Grok.	129	Approved	verify	English	Main	verify	Approved	contacts	English	Main	contacts	Approved	Perplexity AI, Grok	AI	https://www.perplexity.ai/, (No public link for Grok)
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	build lists	Compile lists of qualified leads or prospects, organizing the data in Notebook LM, possibly with formatting assistance from ChatGPT/Gemini/Claude AI.	149	Approved	build	English	Main	build	Approved	lists	English	Main	lists	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	clean lists	Review and clean contact lists to remove duplicates, correct errors, and ensure data consistency, potentially using Notebook LM and AI (ChatGPT/Gemini/Claude AI) for pattern matching.	183	Approved	clean	English	Main	clean	Approved	lists	English	Main	lists	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	plan campaigns	Develop strategies and outlines for lead generation campaigns using Notebook LM for structure and LLMs (ChatGPT, Gemini, Claude AI) for brainstorming content angles.	165	Approved	plan	English	Main	plan	Approved	campaigns	English	Main	campaigns	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
Managers	English	Main	Managers	Approved	Lead Generator	English	Main	Lead Generator	Approved	run campaigns	Execute lead generation campaigns (Note: requires external tools), leveraging content drafted with ChatGPT, Gemini, or Claude AI and campaign plans from Notebook LM.	165	Approved	run	English	Main	run	Approved	campaigns	English	Main	campaigns	Approved	Notebook LM, ChatGPT, Gemini, Claude AI	AI	https://notebooklm.google.com/, https://chatgpt.com/, https://gemini.google.com/app, https://claude.ai/
